date,open,high,low,close,volume
2023-07-24,302.5,305.0,296.0,301.0,1303737
2023-07-25,304.0,309.5,302.0,306.0,1041657
2023-07-26,310.0,310.0,299.0,299.5,689203
2023-07-27,303.5,311.0,302.5,303.5,978610
2023-07-28,313.5,322.5,308.5,315.5,3480239
2023-07-31,327.5,334.0,315.0,315.0,3980782
2023-08-01,317.0,320.0,300.0,300.0,2159324
2023-08-02,300.0,304.0,286.0,288.5,1662608
2023-08-04,288.0,291.0,281.5,287.5,820608
2023-08-07,283.5,284.0,269.5,280.5,2315755
2023-08-08,284.0,284.0,272.0,275.0,1309988
2023-08-09,273.5,276.0,270.0,271.0,1272462
2023-08-10,268.0,268.5,258.5,260.5,1951102
2023-08-11,260.5,265.0,258.5,261.0,936062
2023-08-14,261.0,261.0,253.5,256.5,766007
2023-08-15,261.0,264.0,259.0,261.5,510717
2023-08-16,258.5,262.5,258.0,261.0,374821
2023-08-17,261.5,266.5,257.5,265.5,714625
2023-08-18,267.0,273.5,262.5,264.0,1564778
2023-08-21,247.5,251.5,239.5,241.5,1273192
2023-08-22,244.5,251.5,244.0,249.5,661745
2023-08-23,248.0,249.5,240.0,248.0,1127498
2023-08-24,250.5,255.0,249.5,253.5,686704
2023-08-25,250.0,252.5,244.0,245.0,1060423
2023-08-28,246.5,248.0,238.0,245.0,831733
2023-08-29,248.0,257.5,247.5,254.0,1146730
2023-08-30,260.5,279.0,260.0,271.0,3662008
2023-08-31,273.0,285.0,272.0,280.0,3509198
2023-09-01,275.0,278.5,268.5,268.5,1687896
2023-09-04,272.0,276.5,269.0,275.0,925142
2023-09-05,279.5,282.5,274.0,276.5,1699368
2023-09-06,277.0,277.5,272.5,273.0,747461
2023-09-07,269.0,276.5,268.5,271.0,732434
2023-09-08,272.0,275.0,267.5,274.0,653372
2023-09-11,275.0,275.0,269.5,271.5,640130
2023-09-12,273.5,278.0,272.5,278.0,1012208
2023-09-13,277.0,279.0,274.0,275.0,514556
2023-09-14,279.0,289.5,277.0,289.5,1981262
2023-09-15,293.5,315.0,291.0,309.0,3591554
2023-09-18,304.5,316.5,300.0,312.0,2061233
2023-09-19,311.5,316.0,305.0,309.0,1530592
2023-09-20,306.5,311.0,302.5,305.0,1020871
2023-09-21,303.5,304.0,293.5,301.5,1327327
2023-09-22,298.5,304.0,298.0,302.0,765754
2023-09-25,305.0,311.0,298.5,308.0,1065187
2023-09-26,306.0,314.5,306.0,307.0,924948
2023-09-27,306.0,308.5,299.0,300.0,792032
2023-09-28,301.0,303.0,296.5,296.5,738529
2023-10-02,300.0,312.0,299.5,307.0,925092
2023-10-03,307.0,318.5,306.5,307.5,1734173
2023-10-04,305.0,310.5,303.0,307.0,558390
2023-10-05,310.5,310.5,303.0,303.0,529155
2023-10-06,306.0,306.0,301.0,303.0,535139
2023-10-11,303.0,306.5,294.5,294.5,1123803
2023-10-12,297.5,300.0,295.0,299.5,521487
2023-10-13,298.0,299.0,291.0,292.0,685258
2023-10-16,292.0,292.0,284.5,288.0,537428
2023-10-17,291.0,297.0,289.5,292.5,617471
2023-10-18,295.0,295.0,278.0,281.0,697856
2023-10-19,281.5,284.5,279.5,284.0,366891
2023-10-20,281.5,281.5,272.0,276.0,834563
2023-10-23,275.0,279.0,272.5,274.0,536880
2023-10-24,274.5,281.0,273.0,280.5,677427
2023-10-25,286.5,306.0,286.5,302.0,2329852
2023-10-26,297.0,304.5,293.0,293.0,1515966
2023-10-27,296.5,296.5,281.0,281.0,986034
2023-10-30,283.0,295.0,282.5,293.0,736584
2023-10-31,294.0,308.5,293.0,298.0,2369359
2023-11-01,305.0,307.0,293.0,298.5,1496147
2023-11-02,306.0,308.0,301.0,307.5,1285307
2023-11-03,310.5,314.0,302.5,307.0,1317172
2023-11-06,305.0,305.5,297.0,297.0,1120300
2023-11-07,298.5,319.0,298.5,317.0,3801506
2023-11-08,320.0,324.5,311.0,316.5,2015797
2023-11-09,320.0,320.0,310.5,310.5,833653
2023-11-10,308.0,309.0,302.5,304.0,907062
2023-11-13,307.5,311.5,306.5,307.5,532564
2023-11-14,310.0,310.5,303.0,305.0,457799
2023-11-15,309.5,313.0,304.5,308.0,1112936
2023-11-16,311.0,319.5,311.0,314.0,1669713
2023-11-17,317.0,317.0,309.0,310.5,1322183
2023-11-20,312.0,332.0,309.5,323.5,2424005
2023-11-21,328.0,330.0,317.0,318.0,1451048
2023-11-22,316.0,317.5,312.0,312.5,869295
2023-11-23,314.5,319.5,312.5,315.5,895416
2023-11-24,317.0,317.0,311.0,314.0,572577
2023-11-27,315.5,317.0,303.5,303.5,952745
2023-11-28,306.0,312.5,304.0,311.5,529651
2023-11-29,311.0,316.5,310.5,311.0,498776
2023-11-30,314.0,320.0,311.5,312.0,1347049
2023-12-01,309.5,309.5,305.5,307.5,744306
2023-12-04,309.0,322.5,309.0,319.5,1746069
2023-12-05,319.0,319.5,311.5,318.0,690338
2023-12-06,320.5,320.5,315.5,318.0,556697
2023-12-07,321.5,326.0,317.5,318.0,862954
2023-12-08,320.0,324.0,319.0,320.0,645420
2023-12-11,322.0,323.0,318.5,319.5,444552
2023-12-12,321.5,321.5,307.0,309.0,1314102
2023-12-13,311.0,311.5,306.0,308.0,660892
2023-12-14,310.5,315.5,308.5,310.0,499456
2023-12-15,312.5,312.5,306.5,308.0,395825
2023-12-18,310.0,310.5,304.5,306.0,438955
2023-12-19,308.0,308.0,301.0,303.0,412392
2023-12-20,304.0,307.5,301.5,302.0,336820
2023-12-21,299.0,303.0,296.5,301.0,459564
2023-12-22,305.5,316.5,305.0,315.0,1655349
2023-12-25,311.5,314.0,306.0,306.5,681747
2023-12-26,309.0,310.5,304.0,310.0,587913
2023-12-27,312.0,312.0,306.0,310.0,572384
2023-12-28,312.0,314.5,309.5,312.0,800238
2023-12-29,312.0,314.0,311.0,312.0,360560
2024-01-02,313.0,313.0,305.0,306.0,431778
2024-01-03,303.0,303.5,298.5,299.0,806126
2024-01-04,297.5,301.0,297.0,297.5,344009
2024-01-05,298.5,298.5,290.0,291.5,649408
2024-01-08,293.0,301.5,293.0,300.0,742964
2024-01-09,301.0,310.0,299.5,308.5,844735
2024-01-10,308.0,310.5,303.5,305.0,325031
2024-01-11,308.0,308.5,305.0,306.5,175905
2024-01-12,307.0,308.0,302.0,305.5,275175
2024-01-15,306.5,309.0,305.0,308.5,303270
2024-01-16,308.5,311.0,307.0,309.0,350676
2024-01-17,310.5,311.5,304.0,308.0,345928
2024-01-18,308.5,309.0,300.0,305.5,336910
2024-01-19,309.5,309.5,306.0,309.0,304078
2024-01-22,311.0,317.5,311.0,316.0,854680
2024-01-23,319.0,320.0,314.5,314.5,641460
2024-01-24,317.0,317.0,313.0,315.0,449351
2024-01-25,315.0,317.5,306.0,308.0,437171
2024-01-26,309.5,312.0,307.5,311.0,462295
2024-01-29,309.5,313.0,305.5,309.5,403413
2024-01-30,310.5,310.5,305.0,306.5,260270
2024-01-31,306.0,306.0,303.0,304.0,261428
2024-02-01,304.0,304.0,300.5,301.5,349412
2024-02-02,304.0,311.5,301.5,308.5,616888
2024-02-05,308.5,308.5,303.0,304.5,440522
2024-02-15,309.5,316.5,306.0,314.0,895659
2024-02-16,315.5,319.5,310.5,318.5,639480
2024-02-19,328.5,347.0,328.5,339.5,2427102
2024-02-20,334.0,334.5,313.5,316.0,2701646
2024-02-21,316.0,318.0,310.5,311.0,798370
2024-02-22,314.5,316.0,309.5,312.5,670362
2024-02-23,317.0,317.0,304.0,307.0,1745837
2024-02-26,307.0,307.0,301.0,303.0,902456
2024-02-27,304.5,307.0,298.0,302.5,903492
2024-02-29,303.0,305.5,301.0,305.5,357190
2024-03-01,308.0,311.0,305.5,308.0,783796
2024-03-04,312.0,316.0,311.0,311.5,1000783
2024-03-05,314.0,318.0,310.0,311.5,1031051
2024-03-06,311.5,313.5,307.0,307.5,532460
2024-03-07,303.0,305.5,301.0,302.0,924730
2024-03-08,304.0,304.5,295.0,296.5,969224
2024-03-11,294.0,295.5,289.5,290.0,1633003
2024-03-12,290.0,298.0,290.0,295.0,460030
2024-03-13,296.5,298.0,290.5,291.0,501355
2024-03-14,291.0,295.0,290.0,293.5,300440
2024-03-15,293.0,293.5,290.0,291.5,411868
2024-03-18,291.5,298.0,290.5,298.0,627134
2024-03-19,303.5,306.5,296.5,299.5,1118976
2024-03-20,300.5,301.0,295.5,295.5,638771
2024-03-21,301.5,305.0,296.5,300.0,1208218
2024-03-22,303.0,305.0,298.5,301.0,534316
2024-03-25,302.5,309.5,302.5,308.5,718821
2024-03-26,309.5,315.0,305.0,313.5,1258612
2024-03-27,316.0,318.0,311.5,313.0,1629309
2024-03-28,314.0,317.0,310.5,310.5,719098
2024-03-29,309.5,311.0,303.0,305.5,499211
2024-04-01,307.5,314.0,306.0,312.5,572712
2024-04-02,315.0,317.0,313.0,316.5,1091107
2024-04-03,315.5,319.5,315.0,316.5,673666
2024-04-08,314.0,317.0,311.0,316.5,541212
2024-04-09,317.0,318.5,312.0,313.5,335678
2024-04-10,313.5,322.0,312.0,318.0,939375
2024-04-11,316.5,321.0,315.0,315.0,607729
2024-04-12,319.5,322.5,313.0,313.5,582972
2024-04-15,312.5,313.0,309.5,309.5,449922
2024-04-16,309.5,309.5,295.0,296.5,826794
2024-04-17,297.0,301.0,293.5,294.0,682212
2024-04-18,294.0,299.5,290.0,297.0,426659
2024-04-19,293.0,293.0,281.0,283.0,1293745
2024-04-22,284.0,284.0,274.5,274.5,673537
2024-04-23,279.0,285.0,278.0,284.0,220611
2024-04-24,287.0,289.0,286.0,288.0,294506
2024-04-25,287.0,287.0,283.0,283.0,243370
2024-04-26,287.5,288.0,285.5,286.5,186919
2024-04-29,288.5,294.0,288.0,294.0,363339
2024-04-30,290.0,295.0,290.0,295.0,322033
2024-05-02,294.0,294.0,288.5,288.5,280208
2024-05-03,294.5,294.5,287.5,287.5,219650
2024-05-06,292.5,292.5,288.0,289.0,140529
2024-05-07,293.0,294.5,288.0,293.0,310087
2024-05-08,295.0,295.0,290.0,292.0,283871
2024-05-09,293.0,293.0,287.5,289.0,277895
2024-05-10,291.0,292.0,287.0,290.5,237971
2024-05-13,288.0,289.0,282.0,283.0,471680
2024-05-14,284.0,285.5,280.0,285.5,672337
2024-05-15,283.0,284.5,281.5,282.0,518735
2024-05-16,283.0,284.5,280.5,281.0,491895
2024-05-17,281.5,284.5,278.5,279.0,612001
2024-05-20,281.0,283.5,278.0,283.5,493175
2024-05-21,282.0,298.0,278.5,297.0,1955279
2024-05-22,301.0,304.0,293.5,298.0,1923240
2024-05-23,299.0,303.0,294.0,294.0,1055498
2024-05-24,294.0,317.0,290.0,316.5,2626721
2024-05-27,321.0,325.0,310.5,316.5,1519419
2024-05-28,317.0,321.0,315.0,316.0,1184253
2024-05-29,325.5,327.0,315.5,315.5,1854593
2024-05-30,316.0,324.0,313.0,320.5,1409180
2024-05-31,325.0,345.0,323.0,329.0,4166592
2024-06-03,341.0,353.0,339.0,342.0,4130294
2024-06-04,339.0,339.0,310.0,316.0,3820247
2024-06-05,315.5,316.0,305.0,305.0,2040495
2024-06-06,310.5,319.0,305.0,306.5,1464578
2024-06-07,303.0,306.0,302.0,305.0,615158
2024-06-11,307.0,307.0,299.0,302.0,690346
2024-06-12,302.0,307.0,301.5,305.5,321634
2024-06-13,308.0,312.0,306.0,311.5,556308
2024-06-14,312.5,312.5,307.0,308.0,552777
2024-06-17,308.0,313.0,304.5,312.0,419823
2024-06-18,315.0,315.5,307.0,309.0,390732
2024-06-19,309.5,311.0,307.0,307.5,258683
2024-06-20,307.5,309.5,306.0,308.5,201644
2024-06-21,307.5,310.0,304.0,305.5,545352
2024-06-24,305.5,308.0,303.5,304.5,288873
2024-06-25,304.0,304.0,297.5,300.0,494885
2024-06-26,300.5,303.0,298.5,299.0,218371
2024-06-27,299.0,301.5,296.5,300.0,280585
2024-06-28,302.5,305.0,302.0,302.0,190661
2024-07-01,304.5,320.5,302.0,318.0,1401901
2024-07-02,321.5,326.5,313.5,316.0,1601716
2024-07-03,319.5,323.5,318.5,319.5,578989
2024-07-04,324.5,333.0,321.0,329.5,1667638
2024-07-05,330.0,335.5,326.0,328.0,1347161
2024-07-08,331.0,331.5,324.5,328.5,669243
2024-07-09,329.5,329.5,323.5,326.0,553542
2024-07-10,329.0,329.0,323.0,323.0,405756
2024-07-11,324.5,328.5,321.5,325.5,620582
2024-07-12,324.5,329.5,323.0,327.0,960693
2024-07-15,315.5,316.5,303.5,310.0,660600
2024-07-16,309.5,312.5,306.5,308.0,299586
