date,open,high,low,close,volume
2023-07-18,79.6,79.6,76.6,77.4,4215998
2023-07-19,78.7,80.3,76.7,77.3,3630936
2023-07-20,78.0,79.9,77.3,79.2,2698176
2023-07-21,78.1,78.4,76.0,78.4,2035016
2023-07-24,79.1,81.2,77.2,80.0,3892781
2023-07-25,80.0,81.2,78.3,78.5,2789684
2023-07-26,79.1,80.2,77.4,78.1,2012620
2023-07-27,78.3,78.8,77.5,77.6,1405949
2023-07-28,77.3,77.5,74.9,76.4,2728750
2023-07-31,76.7,81.4,76.7,79.1,5304718
2023-08-01,78.2,80.6,76.5,77.5,3233320
2023-08-02,77.5,77.7,71.5,72.5,5082397
2023-08-04,72.9,73.2,70.4,72.9,1626366
2023-08-07,78.5,80.1,76.1,80.1,5184162
2023-08-08,81.3,82.5,72.2,73.1,11698446
2023-08-09,72.2,78.7,72.1,76.7,5990919
2023-08-10,75.6,77.4,73.3,73.6,3511878
2023-08-11,75.5,79.7,75.5,78.3,7032769
2023-08-14,77.5,78.8,76.3,77.2,4077554
2023-08-15,78.4,82.3,78.3,80.8,7230417
2023-08-16,79.6,83.0,79.1,83.0,5679984
2023-08-17,82.3,89.8,82.0,88.9,11597140
2023-08-18,89.6,91.2,87.2,90.0,15316456
2023-08-21,90.1,94.8,89.0,91.9,16611403
2023-08-22,92.4,93.4,90.3,92.0,8573968
2023-08-23,92.5,96.6,92.0,95.2,11483974
2023-08-24,95.8,97.9,94.0,96.1,7414456
2023-08-25,94.6,96.9,94.5,95.3,3979302
2023-08-28,95.1,95.6,89.6,91.0,7316064
2023-08-29,92.3,94.6,92.3,93.5,4664774
2023-08-30,94.8,94.8,91.8,92.0,3746902
2023-08-31,93.2,93.5,91.7,92.7,6109496
2023-09-01,92.0,92.9,90.1,90.9,3575339
2023-09-04,91.0,92.4,90.3,91.8,2938734
2023-09-05,90.0,90.5,89.1,89.3,2868919
2023-09-06,89.1,93.5,88.2,91.9,4959032
2023-09-07,92.4,94.9,91.1,94.3,9640660
2023-09-08,94.3,96.4,92.9,93.0,6502471
2023-09-11,94.1,95.3,90.3,91.1,7742092
2023-09-12,91.7,92.6,88.8,88.8,5246549
2023-09-13,88.2,90.3,85.8,87.3,5072108
2023-09-14,88.0,90.3,87.0,90.0,3005379
2023-09-15,90.5,91.4,89.4,90.9,2117450
2023-09-18,90.2,92.3,89.3,89.3,2747670
2023-09-19,89.5,90.6,88.4,88.4,1631259
2023-09-20,88.8,90.6,87.5,90.6,2228929
2023-09-21,89.4,90.3,87.7,88.5,2827462
2023-09-22,87.4,92.4,87.4,92.3,5453882
2023-09-25,92.2,101.5,91.5,101.5,13119295
2023-09-26,103.0,111.5,102.0,111.5,34436022
2023-09-27,109.5,116.0,107.5,115.5,19995832
2023-09-28,115.5,117.5,113.0,117.5,12533059
2023-10-02,119.5,119.5,110.5,114.5,14506112
2023-10-03,115.0,122.0,109.5,114.5,22205822
2023-10-04,112.0,115.0,109.0,110.5,10064238
2023-10-05,112.0,116.5,110.5,110.5,7512034
2023-10-06,116.5,118.5,104.5,106.5,16435966
2023-10-11,110.0,110.0,104.5,105.5,7956070
2023-10-12,106.5,110.0,105.5,108.0,5700591
2023-10-13,109.5,109.5,104.5,108.0,6474257
2023-10-16,108.5,114.0,108.0,113.5,15451243
2023-10-17,113.0,114.5,110.0,112.0,14884051
2023-10-18,111.5,112.5,108.0,108.0,7306213
2023-10-19,107.5,115.5,107.0,115.5,11766929
2023-10-20,114.5,119.0,112.0,116.0,15806314
2023-10-23,116.5,120.5,115.5,117.5,18449329
2023-10-24,118.5,129.0,117.0,129.0,31763939
2023-10-25,130.0,134.0,128.0,133.5,33082934
2023-10-26,130.5,136.5,128.5,133.5,24077966
2023-10-27,134.5,136.0,129.0,132.0,17730589
2023-10-30,130.0,134.0,129.5,133.0,10976652
2023-10-31,134.0,135.0,125.5,127.0,15199977
2023-11-01,130.5,131.0,122.0,125.0,12065680
2023-11-02,128.0,135.0,126.0,135.0,15496770
2023-11-03,133.0,138.5,131.5,137.5,20036575
2023-11-06,137.5,137.5,130.5,133.5,22027055
2023-11-07,133.5,137.0,129.5,130.5,10947526
2023-11-08,133.0,133.5,129.0,129.0,5713944
2023-11-09,129.5,131.5,127.0,130.0,5183273
2023-11-10,129.5,133.5,129.0,132.5,4975694
2023-11-13,136.0,137.0,129.0,129.5,12329601
2023-11-14,131.5,135.5,130.0,132.5,12147436
2023-11-15,134.0,136.0,129.0,129.0,12492579
2023-11-16,129.0,130.5,125.0,129.5,9327937
2023-11-17,129.5,135.0,129.0,135.0,13144285
2023-11-20,135.5,148.0,134.5,143.5,28092386
2023-11-21,146.0,151.5,144.0,149.0,17385579
2023-11-22,148.0,158.5,147.0,157.0,17507138
2023-11-23,158.5,159.5,141.5,141.5,26662840
2023-11-24,139.5,141.0,138.0,140.0,10442751
2023-11-27,141.0,147.0,140.0,144.0,9388927
2023-11-28,143.0,152.0,143.0,150.0,10488524
2023-11-29,151.0,152.0,145.0,145.5,7894201
2023-11-30,147.0,147.5,142.5,146.0,6278962
2023-12-01,142.0,146.0,141.0,141.0,8212477
2023-12-04,140.5,142.0,136.0,138.0,8009487
2023-12-05,136.5,136.5,132.5,133.5,5979374
2023-12-06,134.5,137.0,133.5,134.0,3922752
2023-12-07,135.5,142.0,135.0,138.5,8403212
2023-12-08,139.5,145.0,139.5,144.5,10036836
2023-12-11,155.0,158.5,151.0,158.5,10537738
2023-12-12,164.5,173.0,161.5,163.5,35110119
2023-12-13,167.0,167.5,157.5,158.5,13145401
2023-12-14,160.5,163.0,157.0,159.5,7969550
2023-12-15,165.0,165.0,154.0,158.5,10686187
2023-12-18,159.0,163.5,157.0,157.5,6759917
2023-12-19,158.0,159.0,152.5,157.0,5089657
2023-12-20,157.5,161.0,154.0,154.5,6791200
2023-12-21,152.0,155.5,152.0,153.0,2971984
2023-12-22,154.5,158.5,152.5,157.0,6012312
2023-12-25,161.0,165.5,152.0,154.0,15533248
2023-12-26,154.0,156.5,153.5,156.5,2442234
2023-12-27,155.0,158.5,155.0,156.0,3225982
2023-12-28,156.5,166.0,156.5,164.5,12115242
2023-12-29,165.0,172.0,163.0,170.0,19591198
2024-01-02,171.5,173.5,157.0,163.5,15389031
2024-01-03,161.5,166.0,160.0,163.5,5235611
2024-01-04,163.5,166.0,161.0,161.0,4293198
2024-01-05,161.0,165.0,160.0,164.0,3435661
2024-01-08,164.0,167.5,161.5,166.5,4436290
2024-01-09,166.0,168.0,162.5,168.0,7002369
2024-01-10,166.0,166.0,158.0,158.5,11592279
2024-01-11,158.5,160.5,156.0,156.5,5866063
2024-01-12,155.5,168.0,155.5,166.5,13365104
2024-01-15,167.5,173.0,166.5,171.5,11049971
2024-01-16,170.0,171.0,164.5,167.0,8043244
2024-01-17,167.5,170.0,162.0,162.0,6417851
2024-01-18,163.0,171.0,161.0,166.0,12701757
2024-01-19,170.0,171.5,162.5,162.5,8267275
2024-01-22,164.5,164.5,159.0,159.0,6491745
2024-01-23,160.0,162.0,158.5,160.0,3068924
2024-01-24,160.5,167.0,160.5,163.0,6306377
2024-01-25,165.0,166.0,161.0,161.0,3207608
2024-01-26,161.5,164.0,160.0,160.5,1876246
2024-01-29,161.0,161.5,158.0,159.0,3094931
2024-01-30,160.0,170.0,160.0,169.5,9867784
2024-01-31,168.5,179.5,167.5,171.0,19118722
2024-02-01,172.5,173.5,164.5,165.5,9112045
2024-02-02,167.0,171.5,165.0,165.0,6160099
2024-02-05,166.0,169.0,164.0,168.5,3856772
2024-02-15,166.5,172.0,162.0,172.0,9228278
2024-02-16,168.0,174.5,166.0,166.5,11575194
2024-02-19,167.5,168.0,163.5,163.5,4726899
2024-02-20,165.0,169.0,163.5,164.5,4401477
2024-02-21,166.5,170.0,166.0,168.0,6416197
2024-02-22,170.5,170.5,164.5,165.5,4612228
2024-02-23,166.5,170.0,165.5,166.0,3272006
2024-02-26,167.0,169.5,165.0,169.5,3572854
2024-02-27,169.5,178.5,162.0,168.5,26951742
2024-02-29,168.0,169.5,166.5,168.5,4209118
2024-03-01,169.5,176.0,169.5,175.5,13503547
2024-03-04,179.0,184.0,170.5,171.0,18782743
2024-03-05,173.5,173.5,169.5,173.0,4097532
2024-03-06,172.0,180.0,170.5,180.0,7725096
2024-03-07,183.0,183.0,172.5,175.5,8842433
2024-03-08,177.5,180.5,170.0,171.5,8090904
2024-03-11,170.5,175.0,170.5,174.0,2176642
2024-03-12,177.0,181.5,176.0,181.0,6173502
2024-03-13,179.5,180.5,175.0,178.0,5598608
2024-03-14,173.0,174.0,160.5,164.0,17421994
2024-03-15,164.0,179.5,162.5,176.0,16534958
2024-03-18,177.0,181.5,175.0,180.0,10617661
2024-03-19,179.0,182.5,177.0,177.5,6070741
2024-03-20,181.5,187.5,176.5,177.5,16256399
2024-03-21,179.5,190.0,176.5,189.0,19945480
2024-03-22,197.0,207.5,197.0,207.5,10717714
2024-03-25,210.0,216.5,197.0,206.0,28646565
2024-03-26,208.0,210.0,196.5,208.5,16048811
2024-03-27,207.0,211.5,202.0,205.5,13762778
2024-03-28,205.5,226.0,205.5,226.0,35065475
2024-03-29,226.0,244.5,216.5,240.5,40146166
2024-04-01,259.5,264.5,245.0,256.5,23587363
2024-04-02,258.0,281.0,255.0,279.0,28134701
2024-04-03,275.0,292.0,274.0,283.5,26397210
2024-04-08,288.0,295.5,279.0,290.5,18388199
2024-04-09,291.0,301.5,291.0,297.5,2659227
2024-04-10,299.5,304.0,294.0,303.0,2495519
2024-04-11,304.0,333.0,304.0,333.0,3613632
