date,open,high,low,close,volume
2023-07-10,30.2,30.3,29.9,30.05,390801
2023-07-11,30.2,30.25,29.9,30.0,226157
2023-07-12,30.3,30.3,29.95,29.95,185807
2023-07-13,30.15,32.85,30.0,31.75,4084552
2023-07-14,30.3,33.25,30.05,33.25,5025633
2023-07-17,34.0,35.5,33.25,33.35,4907416
2023-07-18,32.75,33.0,31.0,31.15,1988108
2023-07-19,31.5,31.85,30.2,30.45,622326
2023-07-20,30.3,31.45,30.3,30.8,364203
2023-07-21,30.6,31.05,30.35,30.5,385404
2023-07-24,30.9,30.9,30.25,30.35,350645
2023-07-25,30.4,32.9,30.4,32.35,2113345
2023-07-26,32.2,33.15,31.55,31.6,3020200
2023-07-27,31.7,32.0,31.5,31.95,590709
2023-07-28,31.95,34.3,31.3,33.35,3758172
2023-07-31,33.4,35.05,32.55,33.6,4563268
2023-08-01,33.7,36.8,33.0,35.5,7342090
2023-08-02,35.0,35.25,33.25,33.7,2722501
2023-08-04,33.5,34.1,33.05,33.35,631637
2023-08-07,33.35,33.4,31.75,32.6,2301317
2023-08-08,34.2,34.6,33.1,33.2,1756646
2023-08-09,32.75,33.4,32.35,32.6,669451
2023-08-10,32.1,32.25,31.6,31.7,569214
2023-08-11,31.9,32.15,31.35,31.35,501809
2023-08-14,31.35,31.4,30.45,30.5,630065
2023-08-15,30.9,32.2,30.9,31.9,478860
2023-08-16,31.9,31.9,31.1,31.6,265663
2023-08-17,31.15,32.35,31.1,32.2,298739
2023-08-18,32.5,32.6,31.45,31.55,266263
2023-08-21,31.6,31.6,31.05,31.2,261115
2023-08-22,31.3,31.5,30.65,30.75,304323
2023-08-23,31.45,31.45,30.6,31.4,258707
2023-08-24,31.5,31.85,31.0,31.1,221600
2023-08-25,30.7,31.45,30.7,31.0,187020
2023-08-28,31.05,31.45,30.4,30.45,325469
2023-08-29,30.5,30.55,30.3,30.35,225337
2023-08-30,30.9,30.9,30.6,30.65,98079
2023-08-31,30.65,31.0,30.6,30.85,111413
2023-09-01,30.85,31.8,30.85,31.3,366496
2023-09-04,31.45,32.05,31.45,31.45,320364
2023-09-05,31.2,31.75,31.2,31.7,142696
2023-09-06,31.85,32.65,31.7,32.35,597173
2023-09-07,32.5,32.6,31.5,31.5,328794
2023-09-08,31.5,31.65,31.1,31.5,146733
2023-09-11,31.2,31.65,30.8,30.8,255975
2023-09-12,31.3,31.3,30.6,30.8,130702
2023-09-13,30.9,31.3,30.9,31.2,106368
2023-09-14,31.2,31.65,30.85,31.45,134075
2023-09-15,31.75,31.75,30.95,31.0,137011
2023-09-18,30.75,31.05,30.7,30.85,63729
2023-09-19,30.9,31.45,30.65,30.65,168696
2023-09-20,30.6,31.0,30.6,30.85,85924
2023-09-21,30.7,30.75,30.3,30.5,198495
2023-09-22,30.3,30.5,29.85,30.45,175256
2023-09-25,30.7,30.75,30.0,30.55,116413
2023-09-26,30.4,30.6,30.3,30.4,82857
2023-09-27,30.2,30.55,30.1,30.45,61894
2023-09-28,30.2,30.4,30.2,30.4,137193
2023-10-02,30.55,31.1,30.5,31.1,237818
2023-10-03,31.25,31.3,30.6,30.85,230779
2023-10-04,30.1,30.45,30.05,30.45,108113
2023-10-05,30.4,30.85,30.3,30.4,108280
2023-10-06,30.75,30.8,30.4,30.6,58962
2023-10-11,30.7,30.7,29.8,30.0,299927
2023-10-12,30.0,30.35,29.8,30.1,91159
2023-10-13,30.05,30.45,30.05,30.2,142559
2023-10-16,30.0,30.2,29.9,29.9,75781
2023-10-17,30.2,30.2,29.0,29.7,144853
2023-10-18,29.7,29.85,29.0,29.4,198625
2023-10-19,29.2,29.75,29.2,29.45,97337
2023-10-20,29.15,29.6,28.85,29.15,213421
2023-10-23,28.9,29.15,28.8,29.05,69835
2023-10-24,29.1,29.45,28.85,29.35,160018
2023-10-25,29.35,29.8,29.3,29.5,61109
2023-10-26,29.2,29.4,29.0,29.2,90420
2023-10-27,29.15,29.4,28.95,29.15,210049
2023-10-30,29.15,29.15,29.0,29.05,38558
2023-10-31,29.05,29.25,28.6,28.9,189592
2023-11-01,29.0,29.0,28.6,28.75,137936
2023-11-02,28.8,29.6,28.8,29.4,200276
2023-11-03,29.15,29.6,29.15,29.45,79644
2023-11-06,29.45,29.8,29.45,29.6,95742
2023-11-07,29.6,29.85,29.55,29.65,57076
2023-11-08,29.65,29.95,29.6,29.7,81080
2023-11-09,29.7,30.9,29.5,30.8,284283
2023-11-10,30.0,30.25,29.65,30.0,347836
2023-11-13,30.25,30.3,29.7,30.0,89671
2023-11-14,30.0,30.05,29.6,29.9,63469
2023-11-15,29.9,30.05,29.6,29.95,118988
2023-11-16,29.9,30.2,29.9,30.0,92287
2023-11-17,29.75,30.45,29.75,30.1,93716
2023-11-20,30.1,30.55,30.0,30.1,87510
2023-11-21,30.25,30.25,30.1,30.1,91563
2023-11-22,30.0,30.45,30.0,30.3,121089
2023-11-23,30.4,30.5,30.3,30.45,125990
2023-11-24,30.6,30.75,30.5,30.6,162390
2023-11-27,30.95,31.1,30.2,30.5,198056
2023-11-28,30.8,30.8,30.4,30.55,113205
2023-11-29,30.4,30.75,30.4,30.65,161022
2023-11-30,30.65,30.85,30.6,30.75,131682
2023-12-01,30.75,30.85,30.6,30.85,136419
2023-12-04,31.0,31.4,31.0,31.3,319079
2023-12-05,31.2,31.65,31.15,31.65,392129
2023-12-06,31.9,32.4,31.7,32.4,796100
2023-12-07,32.5,32.55,31.9,32.0,499281
2023-12-08,33.8,34.2,32.45,32.55,1857280
2023-12-11,32.7,32.9,31.95,32.05,455045
2023-12-12,32.9,33.05,32.3,32.3,579339
2023-12-13,32.55,32.9,32.35,32.35,265962
2023-12-14,32.8,32.8,32.4,32.5,312450
2023-12-15,32.7,32.9,32.4,32.55,275173
2023-12-18,32.5,32.8,31.9,32.1,258208
2023-12-19,32.3,32.3,31.55,31.7,244223
2023-12-20,33.5,34.2,32.8,33.15,1973315
2023-12-21,32.9,33.85,32.9,33.2,626859
